decision_at,day,net,cumnet
2026-08-19 02:13:00+00:00,2026-08-19,-1.0,93.06980113829424
2026-08-19 02:25:00+00:00,2026-08-19,1.7197932957095263,94.78959443400376
2026-08-19 02:40:00+00:00,2026-08-19,-1.0,93.78959443400376
2026-08-19 03:25:00+00:00,2026-08-19,-1.0,92.78959443400376
2026-08-19 03:25:00+00:00,2026-08-19,-1.0,91.78959443400376
2026-08-19 03:43:00+00:00,2026-08-19,-1.0,90.78959443400376
2026-08-19 04:40:00+00:00,2026-08-19,2.3839573350659187,93.17355176906968
2026-08-19 04:40:00+00:00,2026-08-19,-1.0,92.17355176906968
2026-08-19 07:10:00+00:00,2026-08-19,17.665422305179654,109.83897407424934
2026-08-19 08:10:00+00:00,2026-08-19,4.875164504606128,114.71413857885547
2026-08-19 08:25:00+00:00,2026-08-19,-1.0,113.71413857885547
2026-08-19 09:05:00+00:00,2026-08-19,3.9572929214814385,117.67143150033691
2026-08-19 12:10:00+00:00,2026-08-19,-1.0,116.67143150033691
2026-08-19 12:13:00+00:00,2026-08-19,-1.0,115.67143150033691
2026-08-19 13:13:00+00:00,2026-08-19,-1.0,114.67143150033691
2026-08-19 13:58:00+00:00,2026-08-19,-1.0,113.67143150033691
2026-08-19 13:58:00+00:00,2026-08-19,-1.0,112.67143150033691
2026-08-19 14:25:00+00:00,2026-08-19,2.506963075185781,115.17839457552269
2026-08-19 15:25:00+00:00,2026-08-19,14.310528912938668,129.48892348846135
2026-08-19 16:25:00+00:00,2026-08-19,2.782505910165485,132.27142939862685
2026-08-19 16:55:00+00:00,2026-08-19,-1.0,131.27142939862685
2026-08-19 18:40:00+00:00,2026-08-19,-1.0,130.27142939862685
2026-08-19 18:55:00+00:00,2026-08-19,-1.0,129.27142939862685
2026-08-19 19:10:00+00:00,2026-08-19,2.162555344718532,131.43398474334538
2026-08-19 20:20:00+00:00,2026-08-19,3.1059836499731057,134.53996839331847
2026-08-19 21:25:00+00:00,2026-08-19,-1.0,133.53996839331847
2026-08-19 21:25:00+00:00,2026-08-19,-1.0,132.53996839331847
2026-08-19 22:25:00+00:00,2026-08-19,1.7979228220968757,134.33789121541534
2026-08-19 22:40:00+00:00,2026-08-19,-1.0,133.33789121541534
2026-08-19 23:25:00+00:00,2026-08-19,2.26943762403429,135.60732883944962
2026-08-19 23:43:00+00:00,2026-08-19,-1.0,134.60732883944962
2026-08-20 00:43:00+00:00,2026-08-20,-1.0,133.60732883944962
2026-08-20 01:25:00+00:00,2026-08-20,1.8807900278572398,135.48811886730687
2026-08-20 09:13:00+00:00,2026-08-20,5.262721152340693,140.75084001964757
2026-08-20 09:40:00+00:00,2026-08-20,-1.0,139.75084001964757
2026-08-20 10:35:00+00:00,2026-08-20,-1.0,138.75084001964757
2026-08-20 10:58:00+00:00,2026-08-20,1.968839065171955,140.71967908481952
2026-08-20 13:50:00+00:00,2026-08-20,2.1625553447185326,142.88223442953804
2026-08-20 13:50:00+00:00,2026-08-20,-1.0,141.88223442953804
